,target_cost,max_windspeed_100m,min_pressure_msl,duration,med_cloudcover_low,avg_pressure_msl,med_surface_pressure,med_soil_temperature_0_to_7cm,max_soil_moisture_100_to_255cm,med_dewpoint_2m,med_soil_temperature_28_to_100cm,avg_cloudcover_high,avg_soil_temperature_28_to_100cm,max_elevation,min_temperature_2m,max_soil_moisture_28_to_100cm,avg_winddirection_100m,med_cloudcover_mid,avg_temperature_2m,med_soil_temperature_100_to_255cm,max_rain
0,11191.0,0.5014447267329316,-0.18957762616628115,1.1347116988499941,0.020774571645303795,0.011144188555336703,-0.02034637740258006,0.5344902322322315,0.689247590248889,0.4003322083231365,0.40213513022841024,0.49244300334168967,0.5769976331929175,2.451665650696816,0.6426418209316189,0.7855929023850104,-0.62038346424619,0.5206231575530298,0.8081213573196008,0.4971763012681508,1.3619323494871625
1,1943.5,-0.23167600177477646,-0.18957762616628115,0.45148740130299053,-0.4098256406391732,-0.7672224458955309,-0.8856934593952318,0.5966022469870481,0.689247590248889,0.49070423158816295,0.5791366933405292,1.0073013115546303,0.8169827184413132,-0.16260609217672556,-0.40801663497165475,0.3392926156480111,0.0015115216857230832,0.22550748923843933,0.4995595109686481,0.6265783522831497,0.37575589245110086
2,1866.6,-0.12560747084174664,0.35015638547884725,0.45148740130299053,-0.6251257467814118,0.6517309819654967,0.9788172636610997,0.782938291251496,-0.04509096384805817,0.2195881617930867,0.5791366933405292,1.1951216223907113,0.8278911314071511,-1.0752808426473703,1.2481060158589297,0.636826140139344,-1.476207042703289,-1.2500708523345128,0.9556944142700554,0.6265783522831497,0.18129856289469456
3,33005.8,1.655719916298259,-1.3702457766400107,2.501160293944001,-0.8404258529236502,-0.2984131166400552,0.5773675864480157,0.7208262764966793,0.689247590248889,0.12921613852806024,0.5201361723031556,-0.4466585508387147,0.5715434267099986,1.0233554479828693,-0.443632175849732,0.7855929023850104,-0.7785985614228228,-0.791002034956261,0.6203011030190204,0.5834443352781497,1.6258387253137139
4,1915.9,0.6730261738304802,-0.6056225934760767,1.1347116988499941,-0.6251257467814118,-0.223260476072391,0.8360796006519909,0.6587142617418649,-0.7794295179450054,0.49070423158816295,0.5791366933405292,0.4825577238240008,0.34792096091035596,-0.8019940529584202,-1.2271740751674278,-0.5533079578259867,-0.2971651634133989,-0.20077069832708014,0.35198645401819345,0.6265783522831497,-0.49930209055272784
5,2165.4,0.5607183175484486,-0.5887559056121624,-0.003995463728345163,-0.7686591508762374,-0.2178924303175622,0.3721821958724435,0.34815418796778574,-2.0033271081065838,0.2195881617930867,0.3726348697097234,1.3219827095343804,1.1224182814847286,1.0259336252440858,0.8919506070781589,-0.7020747200716532,-2.6573375701407262,1.3075982730586042,0.8483685546697242,0.38934125875565195,-0.26317533323423437
6,1358.6,-1.5856096025081607,1.4352466380570883,-0.231736896244013,-1.4145594693029528,1.6913425098182973,1.7460322023349855,0.28604217321296904,0.07729879516809982,-0.23227195453203928,0.16613304607891968,-0.15916167153260785,-0.42112215318109764,-0.9463719795865448,-0.016245685312806984,-1.1483750068086516,-0.7169834410702064,-0.8565832945817254,0.35198645401819345,0.3246402332481533,-0.08260781293185686
7,58590.0,-0.7214630416714155,0.8617792506841314,0.22374596878732267,-1.1992593631607145,1.7378655730268542,2.174245191362271,0.34815418796778574,0.566857831232731,-0.23227195453203928,0.16613304607891968,-0.9532791261202477,0.43518826463704585,1.0233554479828693,0.42894857566315653,0.636826140139344,-1.6620967278349104,-2.037045967840087,0.6605483003691461,0.28150621624315314,-0.06871800367782813
8,15777.9,1.3250356728011654,-0.9148452043144344,1.1347116988499941,-0.12275883244952188,-0.5578686614570246,-0.6805080688196596,0.5966022469870481,0.3220783132004151,0.3099601850581132,0.40213513022841024,0.19506084451789513,-0.0011482539964033803,-0.25284229631930344,-0.8532108959476183,0.636826140139344,-0.7592785660580192,1.5699233115604623,0.1574583334925938,0.4971763012681508,0.02851066110037501
9,25759.2,-0.6434714748088934,1.4071354916172376,-1.1427026263066844,-1.6298595754451914,1.8559625796331893,1.870927657467953,0.5344902322322315,-1.0242090359773213,0.2195881617930867,0.40213513022841024,1.0246005507105846,0.3751919933249469,-1.1552043377450822,0.8029117548829662,-0.8508414823173196,-1.0626547094891206,-1.315652111959977,0.7007954977192695,0.4756092927656508,-0.49930209055272784
10,4200.0,0.5388806788269418,-0.004044059663269053,1.8179359963969977,-1.0557259590658887,0.78056408008151,1.103712718794047,-0.33507797433518904,-3.34961445728432,-0.14189993126701278,-0.4238721642948089,-1.992881022063818,0.01521436545235157,-0.7040233170321928,1.3371448680541225,-1.1483750068086516,0.06364880407522562,-1.6435584100873,0.4660201798435465,-0.10669993680184217,-0.22150590547214719
11,3892.3,-0.14432544688875176,0.13651167253598448,0.6792288338186584,0.30784137983495513,0.8181404003653523,-1.3674330720509205,-0.5835260333544514,0.3220783132004151,-0.6841320708571652,-2.134887274378623,-0.982934964673313,-0.8629128782974639,-0.47972189530635634,0.6426418209316189,0.19052585340234468,-0.24651544583540097,-0.3319332175780092,-0.043777653258027634,-3.12608112715181,-0.3604039980124375
12,111600.0,1.6931558683922694,-0.6393559692038924,1.1347116988499941,0.9178583472379642,-1.1000412826952217,-0.6448236530673773,-0.27296595958037234,-0.2898704818803741,0.6714482781182127,-0.09936929858925986,-0.10973527394416602,-0.07205293827433827,-0.3198749051109327,-0.05186122619088394,0.19052585340234468,0.48555572987958046,-0.2663519579525447,0.38552578514329744,0.1305371567256541,0.5146539849913911
13,115154.0,0.45153012394091757,-0.08275526969484975,-0.45947832875968087,-0.3380589385917604,-0.23220721899710567,0.2740500525536775,1.2177223945352063,-0.4122602408965321,0.5810762548531863,0.9921403406021388,0.37958606218141266,1.0842388361043016,-0.6008962265835324,-0.33678555321550085,-0.9996082445629852,0.34979360028907075,-0.791002034956261,0.5599303069938343,0.9285164713181463,0.26463741841886895
14,22049.8,0.448410461266416,-1.0048008729219515,0.9069702663343262,-0.4098256406391732,-0.1552652298444985,0.3721821958724435,-0.2108539448255579,0.3220783132004151,0.038844115263036966,-0.1878700801453183,0.36640568949116165,-1.288340983965077,0.5799089590536295,-2.5627568580953186,0.19052585340234468,-0.7556234317998135,-0.8893739243944577,-1.0969126505862774,-0.02043190279184339,1.4174915865032782
15,5613.1,-0.7089843909734123,1.2665797594179842,-0.6872197612753487,-1.0198426080421823,1.0149687447092377,1.0145016794133617,0.782938291251496,0.1996885541842578,0.6714482781182127,0.6971377354152746,0.5146848822564883,0.6479023174708525,-0.44362741364932523,0.5001796574193105,-0.7020747200716532,-1.0177487743168743,-1.3812333715854417,1.1502225347956574,0.6697123692881484,-0.12427724069394407
16,85852.4,0.348581255682388,-1.5276681967031784,-0.231736896244013,0.8819749962142578,-2.4832077388573706,-2.9999950927174783,-0.6456380481092682,-0.04509096384805817,-0.3226439777970658,-0.5418732063695563,-0.24812918719180388,-1.0701727246483514,0.059117152287894374,-2.349063612826856,0.48805937789367754,1.0870863963729176,1.3075982730586042,-2.0024745909640727,-0.1929679708118425,-0.26317533323423437
17,29040.0,0.8009323434850164,-0.251422148333954,1.8179359963969977,0.2360746777875423,0.3171227965808631,0.4970776510053908,-0.2108539448255579,-0.04509096384805817,0.038844115263036966,-0.21737034066400515,0.38782379511282045,0.01521436545235157,0.20091690165480247,0.571410739175465,-0.7020747200716532,-0.8250709827057274,0.9141107153058169,0.4056493838183579,-0.06356591979684355,2.000863575172498
18,155000.0,-0.6933860776009079,0.5862900155735957,1.3624531313656618,0.9537416982616707,0.5014257008301479,0.12239128560650836,0.6587142617418649,0.9340271082812049,0.2195881617930867,0.6381372143779008,-0.7654588152841668,0.8387995443729871,0.1854478380875034,-0.443632175849732,0.7855929023850104,-0.18907762177787632,-0.3319332175780092,0.19770553084271714,0.4971763012681508,-0.8604371311574829
19,2414.0,0.5607183175484486,-0.7855339306911173,1.1347116988499941,0.020774571645303795,-0.4862947180592463,0.6754997297667614,-0.45930200384482023,0.3220783132004151,-0.5033880243271155,-0.6008737274069279,-0.8346557719079863,-2.422815932412043,0.1880260153487199,-1.9394848927289692,-0.8508414823173196,-0.5530245614878204,-0.92216455420719,-2.378115099565231,-0.2361019878168411,-0.49930209055272784
20,9048.6,1.5496513853652287,-1.19033443942497,0.6792288338186584,-0.6251257467814118,-1.09288388835545,-0.4128749506776036,0.0375941141937067,0.4444680722165731,0.4003322083231365,-0.010868517033199314,0.9298666219994043,0.004305952486515582,0.028179025153296244,-0.8175953550695414,0.48805937789367754,-0.12432952920394179,-0.06960817907615106,0.5733460394438754,0.19523818223315434,0.4313151294672173
21,12600.0,0.6012739323169596,-0.200822084742224,0.22374596878732267,0.30784137983495513,-0.9264744699555945,-0.6715869648815789,0.5966022469870481,-1.0242090359773213,0.7618203013832392,0.40213513022841024,0.5888244786391523,0.6806275563683604,0.15708788821412178,0.7851039844439274,0.7855929023850104,0.016654220755434886,1.045273234556746,0.915447216919932,0.4971763012681508,1.098025973660611
22,8395.8,0.20195710998084676,-0.6674671156437432,-0.003995463728345163,1.240808506451322,-0.19105220154339786,-0.7607980042622642,0.22393015845815237,0.1996885541842578,0.2195881617930867,0.5791366933405292,0.5805867457077457,0.5497266007783266,-0.31214037332728317,0.0015620851262314955,0.636826140139344,-0.6846093947832383,1.3731795326840688,0.09037967124238586,0.4971763012681508,0.9035686441042042
23,1708.3,-0.5498815945738669,0.6762456841811193,0.6792288338186584,-0.30217558756805396,0.23123406450352094,0.19376011711107285,0.34815418796778574,1.1788066263135208,0.12921613852806024,0.16613304607891968,0.21236008367384943,0.12975270159363236,4.091386388830517,-0.5860943393620401,0.9343596646306769,0.6354162344660284,0.5862044171784943,0.1708740659426349,0.41090826725815205,0.8063399793260011
24,1430.2,-1.7072764468136956,1.5701801409683704,-0.003995463728345163,-0.6251257467814118,1.8416477909536255,1.4605568763167882,0.4413222101000086,0.1996885541842578,-0.23227195453203928,0.46113565126578393,-0.2069405225347686,-0.07205293827433827,1.3920347963368305,0.8207195253220043,-0.25577443333465383,-0.5284829457541513,-0.92216455420719,0.21782912951778,0.4540422842631507,-0.7632084663792797
25,9713.6,0.9070008744180467,-1.010423102209923,1.5901945638813297,-0.12275883244952188,0.3135440994109772,0.6576575218906203,-0.2108539448255579,0.1996885541842578,-0.23227195453203928,-0.36487164325743726,0.4487830188052322,-0.7374661291903472,0.41490561433577283,-0.40801663497165475,-0.10700767108898739,1.5659089841979081,0.8485294556803524,-0.30538443603383525,-0.06356591979684355,0.5146539849913911
26,27393.7,-0.5841978839933768,0.2995563218871173,-0.45947832875968087,-0.9839592570184759,0.9076078296125804,1.0501860951656439,0.7208262764966793,0.1996885541842578,0.5810762548531863,0.6086369538592161,0.38452870194025707,0.7624406536121332,1.4332856325162946,0.8563350662000813,-0.25577443333465383,-0.879375834541931,-0.9877458138326546,1.0697281400954084,0.5834443352781497,1.639728534567743
27,11813.5,1.031787381398082,-1.2015788980009066,0.22374596878732267,-0.19452553449693472,-1.1465643459037786,-0.7251135885100023,0.34815418796778574,-0.6570397589288474,0.2195881617930867,0.22513356711629126,-0.4046461128885383,-0.7265577162245112,-0.5390199723143361,-1.066904141216081,-0.5533079578259867,0.19471147533375746,-0.0040269194506865336,-0.7883508042353248,0.3246402332481533,-0.5826409460769022
28,1832.7,1.1191379362841063,-0.6730893449317146,0.22374596878732267,-0.5533590447339989,-0.6562828336289673,0.05102245410196415,0.7208262764966793,2.647483734507415,0.6714482781182127,0.5201361723031556,0.2074174439150062,-0.0066024604793204055,-1.229971478320361,0.5357951982973881,3.760928147298336,-0.24286031157719382,0.29108874886390385,0.5733460394438754,0.5834443352781497,0.0007310425923170422
29,3675.4,-0.26911195386878717,0.24895625829538728,0.22374596878732267,0.09254127369271663,-0.1302143496552771,-0.03818858527872118,0.5966022469870481,-0.04509096384805817,0.4003322083231365,0.46113565126578393,0.5006807362730963,0.7133527952658703,0.6520979223676918,1.0344127705904667,-0.40454119558032026,-1.1639541446451165,1.3075982730586042,0.7611662937444557,0.4971763012681508,0.20907818140275253
30,18216.9,1.4716598185027068,-0.9766897264821008,-0.45947832875968087,-0.19452553449693472,-1.2091915463768423,-1.0730366420946629,0.34815418796778574,0.811637349265047,0.5810762548531863,0.46113565126578393,-0.06525151611456742,-0.44839318559568664,0.4097492598133398,-1.262789616045505,0.7855929023850104,-0.5681672605575322,0.8157388258676201,-0.17793497775844114,0.540310318273151,-0.027048575915740926
31,29070.0,1.1160182736096056,-1.3533790887761028,-0.003995463728345163,0.6666748900720193,-2.27743265158875,-1.3941963838651423,0.782938291251496,-2.7376656622035314,0.5810762548531863,0.6381372143779008,0.698386326626866,0.1133900821448774,-1.2325496555815776,-1.262789616045505,-0.40454119558032026,0.8014637621959602,1.7010858308113914,0.06354820634230364,0.6697123692881484,1.695287771583859
32,2585.3,0.7728553794145082,-2.0898911255001926,0.45148740130299053,0.09254127369271663,-0.8745833609922087,-0.1809262482878096,0.4102662027226002,-0.7794295179450054,0.3099601850581132,0.34313460919103655,-0.34945330224811094,-1.964662587846922,-0.5415981495755526,-1.9038693518508922,-0.25577443333465383,2.047342382207332,1.3731795326840688,-2.2238341763897544,0.41090826725815205,-0.19372628696408922
33,12069.4,0.30802564091387613,-0.48755577842870246,1.1347116988499941,0.5949081880246064,-0.3860911973023403,-0.4664015743060067,-0.2108539448255579,-0.04509096384805817,-0.05152790800198952,-0.1878700801453183,0.5814105190008857,-0.0011482539964033803,0.15708788821412178,0.8029117548829662,0.7855929023850104,0.1879233688542322,1.176435753807675,0.1574583334925938,0.022702114213155235,0.13962913513260738
34,62000.0,1.359351962220675,-0.8698673700106695,0.6792288338186584,-0.3380589385917604,-0.5381858270226321,0.033180246225823024,0.16181814370333789,0.07729879516809982,0.5810762548531863,0.16613304607891968,0.6876772738160372,0.5660892202270815,-0.6962887852485432,-0.1943233897031924,0.041759091156678224,-0.712283982738227,0.7173669364294233,0.5733460394438754,0.3246402332481533,0.4868743664833332
35,3383.1,-0.31590689398630045,0.26582294615929514,-0.9149611937910166,0.09254127369271663,-0.012117343048941773,0.06886466197810527,0.09970612894852118,0.07729879516809982,0.6714482781182127,0.16613304607891968,0.15304840656771876,0.03703119138402355,-0.5338636177919031,0.7138729026877735,0.636826140139344,0.06625961425965911,-0.4630957368289383,0.3922336513683168,0.41090826725815205,0.0007310425923170422
36,82400.7,0.0022986988127899253,0.4907121176781008,-0.45947832875968087,1.3125752084987348,0.18471100129496398,-0.27013728766849493,-1.7636543136959533,0.1996885541842578,-0.9552481406522415,-1.1908789377806563,-1.0224760827440673,-1.1519858218921244,0.19833872439358594,-0.5326710280449247,0.48805937789367754,0.6301946140971628,0.6517856768039588,-1.5060924903125397,-1.7242255744893251,-0.013158766661711695
37,41998.3,0.6511885351089736,-1.0891343122415038,0.6792288338186584,-0.6968924488288245,-0.684912410988095,-0.5199281979344098,0.34815418796778574,0.1996885541842578,0.5810762548531863,0.284134088153665,0.8680836250138514,0.315195722012848,0.4587346277764535,-0.6929409619962716,0.3392926156480111,-0.11597493661375674,0.6517856768039588,0.7007954977192695,0.3677742502531519,1.1535852106767268
38,5135.3,-0.434454075617334,0.7943124992284936,-1.1427026263066844,-0.3380589385917604,0.365435208374363,0.4970776510053908,0.34815418796778574,0.566857831232731,0.5810762548531863,0.16613304607891968,0.6003573047431222,-0.04478190585974733,0.8918684076608273,-0.7463642733133872,0.636826140139344,0.5200184243140944,0.061554340174778004,0.0836718050173665,0.41090826725815205,-0.3465141887584088
39,1761.5,-0.3221462193353023,0.6818679134690907,-0.9149611937910166,-0.8404258529236502,0.7519345027224028,-0.823245731828748,0.06865012157111285,-2.0033271081065838,0.038844115263036966,0.5201361723031556,1.090502414161842,0.882433196236331,2.562527272929126,0.607026280053542,-2.784809391510981,-0.9347250104519084,0.7173669364294233,0.10379540369242697,0.15210416522815418,-0.6937594201091346
40,30219.8,-0.18176139898276247,0.05780046250440377,-0.45947832875968087,-0.5533590447339989,-0.448718397775404,-0.2522950797923538,-1.7015422989411364,0.1996885541842578,-0.7293180824896786,-0.8663760720751053,-0.8074712532343432,-1.7192232961156073,-0.8148849392645028,-1.262789616045505,0.3392926156480111,2.055174812760631,-1.1844895927090482,-1.7811150055383884,-0.5380401068518376,-0.8465473219034537
41,9331.1,0.3610599063803917,-1.0497787072257165,-0.45947832875968087,0.6666748900720193,-1.0696223567511716,-1.090878849970804,-0.7077500628640848,-0.04509096384805817,0.49070423158816295,0.10713252504154598,0.5945908916911367,-0.23567913276188196,0.2112296106996685,-0.8532108959476183,-0.10700767108898739,1.6395338313989154,0.7829481960548879,-0.33221590093391745,0.41090826725815205,-0.19372628696408922
42,3671.6,-0.18800072433176435,0.378267531918698,-0.9149611937910166,-0.4098256406391732,0.34396302535502743,-0.14524183253554762,0.4102662027226002,0.1996885541842578,-0.05152790800198952,0.22513356711629126,0.15057708668829653,0.24974524421783015,-0.06463535625049814,1.2481060158589297,-0.7020747200716532,-0.42666134856126947,-0.6598395157053318,0.633716835469064,0.3246402332481533,-1.0965638884759763
43,1050.6,-0.6902664149264067,0.7830680406525506,-1.3704440588223523,-0.6968924488288245,0.014722885725242912,0.06886466197810527,-0.45930200384482023,0.3220783132004151,-1.1359921871822913,-0.5418732063695563,-1.0562507877628358,-0.48111842449319653,0.8583521032650127,-0.21213116014223088,-0.5533079578259867,1.4922841369969009,-0.8565832945817254,-0.8822609313856149,0.06583613121815539,-2.235528247306357
44,1137.9,-1.6729601573941855,1.5870468288322783,-1.3704440588223523,0.8819749962142578,0.9970752588598084,0.9788172636610997,-0.5835260333544514,0.566857831232731,-0.05152790800198952,-0.36487164325743726,-2.4097103083930143,0.4406424711199648,-1.1345789196553502,1.3193370976150836,0.7855929023850104,0.6949427066710974,-0.3975144772034737,0.4391887149434619,-0.5380401068518376,-0.4854122812986991
45,28490.1,0.7697357167400075,-0.909222975026463,-0.6872197612753487,-0.6251257467814118,-1.0732010539210572,-1.1354843696611467,0.9692743355159439,-0.16748072286421614,0.8973783362807757,0.8741392985273935,0.5262177083604583,1.1006014555530566,-0.7066014942934093,0.607026280053542,-1.594675293545651,-0.7310818160661445,-0.5286769964544028,0.9758180129451183,0.7991144203031474,1.5286100605355113
46,2057.0,-2.1908241613613324,1.8344249175029697,-0.9149611937910166,0.9537416982616707,1.6627129324591696,0.39002440374856434,-1.4841502472992825,0.689247590248889,-0.5937600475921387,-1.8988851902291304,0.7955915752174697,-0.7920081940195289,-0.5519108586204187,1.0700283114685443,0.7855929023850104,0.6458594752037593,0.1599262296129748,-0.36575523205902144,-2.737874974106815,-0.8604371311574829
47,1700.0,-1.3422759138970919,1.1934907786743685,-1.1427026263066844,0.6666748900720193,0.6105759645117687,-0.02034637740258006,0.28604217321296904,0.3220783132004151,0.038844115263036966,-0.36487164325743726,-0.0405383173203465,0.17884055993989526,-0.629256176456914,1.0166050001514286,-0.40454119558032026,-1.027147690980833,-0.06960817907615106,0.3721100526932563,-0.4086380558368402,-1.4299193105726733
48,195046.1,1.7399508085097826,-2.179846794107716,-0.6872197612753487,-0.912192554971063,-1.2557146095853993,-1.171168785413429,1.0313863502707583,0.1996885541842578,0.9425643479132889,0.9921403406021388,0.45866829832292105,1.0133341518263668,-0.5931616947998828,0.6960651322487347,-0.5533079578259867,0.9779545306636229,-0.2991425877652769,1.0026494778452004,0.9285164713181463,0.5146539849913911
49,4205.8,-1.1114208759840263,0.3838897612066694,-1.1427026263066844,3.070859408660349,-1.8873546600708244,-2.232780154043572,-2.6953345350181905,0.4444680722165731,-2.9434326524827954,-2.134887274378623,-1.544748350595274,-1.2228905061700592,-0.629256176456914,0.0015620851262314955,0.7855929023850104,1.8515316183748656,0.12713559980024253,-2.1970027114896724,-1.0125142939068332,-1.9160626344636893
50,8583.2,-0.6060355227148827,0.558178869133745,-0.9149611937910166,1.6355253677120924,0.05408855459400779,-0.23445287191623296,0.9071623207611272,0.1996885541842578,0.49070423158816295,0.6971377354152746,0.47926263065143865,0.7624406536121332,-0.755586862256523,0.8741428366391201,0.7855929023850104,-0.2888105708232138,-0.3975144772034737,0.452604447393503,0.7128463862931486,2.3342189972691947
51,3366.5,0.08340992834981277,0.15337836039989233,0.45148740130299053,-0.4098256406391732,1.3084219126401433,1.6211367472020382,-4.061798859624138,-0.9018192769611634,-5.654593350433551,-4.081904468611928,-3.7162147513141726,-3.033687058498872,-0.9386374478028953,-1.2271740751674278,-2.0409755802826495,1.1142388222910187,-2.1682084870910163,-3.3306321035181687,-2.781008991111815,-1.4021396920646152
52,1257.8,-0.4500523889898384,0.8730237092600742,-1.825926923853688,-0.8763092039473566,0.4745854720559836,0.7290263533951848,1.2177223945352063,-2.0033271081065838,0.9425643479132889,1.1691419037142579,1.5015652874390535,1.8750987761274271,-0.020806342809817458,1.4083759498102764,-1.892208818036983,0.6291502900233892,-0.16798006851434788,1.284379859296071,0.9716504883231465,0.9174584533582334
53,3392.1,-1.6760798200686866,0.9236237728518042,-1.59818549133802,3.250276163778881,-0.6133384675902963,-1.3941963838651423,-0.39718998909000575,0.07729879516809982,0.5810762548531863,1.4051439878637484,-1.4664898877469073,1.2696818565235173,-0.38175115938012893,-0.034053455751845464,0.3392926156480111,1.6045489749275152,-0.4958863666416705,-0.43954176053424876,0.06583613121815539,-1.4993683568428184
54,9150.0,-0.652830462832396,0.8561570213961599,-1.1427026263066844,-0.7327757998525309,0.9040291324426741,-0.7964824200145465,0.9692743355159439,0.3220783132004151,-0.18708594289952604,0.7561382564526482,0.01218317344065868,0.9969715323776118,0.46131280503767,1.1234516227856595,0.19052585340234468,-0.313874348593769,-0.0368175492634188,0.6135932367940011,-0.969380276901833,-1.0132250329518024
55,14657.8,-1.9100545206562531,1.615157975272129,0.6792288338186584,2.6043758453521657,1.2547414550918146,0.9252906400326764,-2.6953345350181905,2.647483734507415,-1.5878523035074172,-3.255897174088706,-2.095852683706406,-2.619167365797095,-0.876761193533699,-0.3545933236545393,1.826960238104674,1.7794732572845182,-0.3975144772034737,-1.5128003565375614,-3.902493433241802,-0.8743269404115122
56,5950.0,-1.8944562072837485,1.8344249175029697,-2.053668356369356,0.020774571645303795,1.3943106447174853,1.068028303041785,-0.7698620776188994,0.07729879516809982,0.12921613852806024,0.5791366933405292,1.2601997125488276,1.0787846296213828,-0.9902009930272255,1.461799261127392,-1.297141769054318,-0.7780763993859352,2.881548504069753,0.023301008992180305,-0.3655040388318401,-1.9299524437177185
