x_name,y_name,values
min_time,max_time,0.9999995177009888
max_time,min_time,0.9999995177009888
max_elevation,min_surface_pressure,-0.9431554142227901
avg_temperature_2m,avg_dewpoint_2m,0.966952657756251
avg_temperature_2m,avg_soil_temperature_0_to_7cm,0.9732172826130112
avg_temperature_2m,avg_soil_temperature_7_to_28cm,0.9423908812041072
avg_temperature_2m,avg_soil_temperature_28_to_100cm,0.8768001458787529
min_temperature_2m,min_dewpoint_2m,0.9290222244501876
min_temperature_2m,min_apparent_temperature,0.9512200215664152
min_temperature_2m,min_soil_temperature_0_to_7cm,0.9734694676505097
min_temperature_2m,min_soil_temperature_7_to_28cm,0.9466593040375467
min_temperature_2m,min_soil_temperature_28_to_100cm,0.8789805261403204
max_temperature_2m,max_apparent_temperature,0.8443489141129313
max_temperature_2m,max_vapor_pressure_deficit,0.8381323587856743
med_temperature_2m,med_dewpoint_2m,0.9397495856734496
med_temperature_2m,med_soil_temperature_0_to_7cm,0.9318896551623035
med_temperature_2m,med_soil_temperature_7_to_28cm,0.9168911494625865
med_temperature_2m,med_soil_temperature_28_to_100cm,0.846518996631871
avg_relativehumidity_2m,med_relativehumidity_2m,0.8506108089035326
avg_relativehumidity_2m,avg_vapor_pressure_deficit,-0.893043823429158
max_relativehumidity_2m,min_vapor_pressure_deficit,-0.9958679126806472
med_relativehumidity_2m,avg_relativehumidity_2m,0.8506108089035326
med_relativehumidity_2m,med_vapor_pressure_deficit,-0.9095209939620812
avg_dewpoint_2m,avg_temperature_2m,0.966952657756251
avg_dewpoint_2m,avg_apparent_temperature,0.8309470430424551
avg_dewpoint_2m,avg_soil_temperature_0_to_7cm,0.9353841239647537
avg_dewpoint_2m,avg_soil_temperature_7_to_28cm,0.9101416466552673
avg_dewpoint_2m,avg_soil_temperature_28_to_100cm,0.8655168480183267
min_dewpoint_2m,min_temperature_2m,0.9290222244501876
min_dewpoint_2m,min_apparent_temperature,0.9375881439792032
min_dewpoint_2m,min_soil_temperature_0_to_7cm,0.887619260664792
min_dewpoint_2m,min_soil_temperature_7_to_28cm,0.8709465913953638
min_dewpoint_2m,min_soil_temperature_28_to_100cm,0.8367590526309493
med_dewpoint_2m,med_temperature_2m,0.9397495856734496
med_dewpoint_2m,med_cloudcover_high,0.8003911170438913
med_dewpoint_2m,med_soil_temperature_0_to_7cm,0.8524336720804682
med_dewpoint_2m,med_soil_temperature_7_to_28cm,0.8794325522641543
med_dewpoint_2m,med_soil_temperature_28_to_100cm,0.8571664336571813
avg_apparent_temperature,avg_dewpoint_2m,0.8309470430424551
avg_apparent_temperature,min_apparent_temperature,0.8113505632469389
avg_apparent_temperature,med_apparent_temperature,0.8789348149121963
min_apparent_temperature,min_temperature_2m,0.9512200215664152
min_apparent_temperature,min_dewpoint_2m,0.9375881439792032
min_apparent_temperature,avg_apparent_temperature,0.8113505632469389
min_apparent_temperature,min_soil_temperature_0_to_7cm,0.9232092256726259
min_apparent_temperature,min_soil_temperature_7_to_28cm,0.9121982338221295
min_apparent_temperature,min_soil_temperature_28_to_100cm,0.864612628977593
max_apparent_temperature,max_temperature_2m,0.8443489141129313
med_apparent_temperature,avg_apparent_temperature,0.8789348149121963
avg_precipitation,med_precipitation,0.8979865023875389
avg_precipitation,avg_rain,0.999999089831877
avg_precipitation,med_rain,0.8987509014739429
max_precipitation,max_rain,1.0
med_precipitation,avg_precipitation,0.8979865023875389
med_precipitation,avg_rain,0.8980834737878934
med_precipitation,med_rain,0.999812527407624
avg_rain,avg_precipitation,0.999999089831877
avg_rain,med_precipitation,0.8980834737878934
avg_rain,med_rain,0.8988472785607451
max_rain,max_precipitation,1.0
med_rain,avg_precipitation,0.8987509014739429
med_rain,med_precipitation,0.999812527407624
med_rain,avg_rain,0.8988472785607451
avg_pressure_msl,med_pressure_msl,0.9528853824430235
avg_pressure_msl,med_surface_pressure,0.8021797658931971
min_pressure_msl,max_windspeed_10m,-0.8956846530048214
min_pressure_msl,max_windspeed_100m,-0.9004689833301991
min_pressure_msl,max_windgusts_10m,-0.9090017254475006
max_pressure_msl,max_surface_pressure,0.9207278673122499
med_pressure_msl,avg_pressure_msl,0.9528853824430235
med_pressure_msl,med_surface_pressure,0.8358540499893445
min_surface_pressure,max_elevation,-0.9431554142227901
max_surface_pressure,max_pressure_msl,0.9207278673122499
med_surface_pressure,avg_pressure_msl,0.8021797658931971
med_surface_pressure,med_pressure_msl,0.8358540499893445
avg_cloudcover,med_cloudcover,0.9298773741466663
avg_cloudcover,avg_cloudcover_mid,0.8665584584587668
avg_cloudcover,med_cloudcover_mid,0.8180473754603426
med_cloudcover,avg_cloudcover,0.9298773741466663
med_cloudcover,avg_cloudcover_mid,0.8142136167674738
avg_cloudcover_low,med_cloudcover_low,0.9668790208724082
med_cloudcover_low,avg_cloudcover_low,0.9668790208724082
avg_cloudcover_mid,avg_cloudcover,0.8665584584587668
avg_cloudcover_mid,med_cloudcover,0.8142136167674738
avg_cloudcover_mid,med_cloudcover_mid,0.9665543490766793
min_cloudcover_mid,min_cloudcover_high,0.8469065071105955
min_cloudcover_mid,min_winddirection_10m,0.9150211349126445
min_cloudcover_mid,min_winddirection_100m,0.9308127296413268
med_cloudcover_mid,avg_cloudcover,0.8180473754603426
med_cloudcover_mid,avg_cloudcover_mid,0.9665543490766793
min_cloudcover_high,min_cloudcover_mid,0.8469065071105955
med_cloudcover_high,med_dewpoint_2m,0.8003911170438913
med_et0_fao_evapotranspiration,med_vapor_pressure_deficit,0.832388738483747
avg_vapor_pressure_deficit,avg_relativehumidity_2m,-0.893043823429158
avg_vapor_pressure_deficit,med_vapor_pressure_deficit,0.8773554849050186
min_vapor_pressure_deficit,max_relativehumidity_2m,-0.9958679126806472
max_vapor_pressure_deficit,max_temperature_2m,0.8381323587856743
med_vapor_pressure_deficit,med_relativehumidity_2m,-0.9095209939620812
med_vapor_pressure_deficit,med_et0_fao_evapotranspiration,0.832388738483747
med_vapor_pressure_deficit,avg_vapor_pressure_deficit,0.8773554849050186
avg_windspeed_10m,max_windspeed_10m,0.8726130477025463
avg_windspeed_10m,med_windspeed_10m,0.9775705151883918
avg_windspeed_10m,avg_windspeed_100m,0.9954253645914072
avg_windspeed_10m,max_windspeed_100m,0.8719080388936535
avg_windspeed_10m,med_windspeed_100m,0.9717621322860636
avg_windspeed_10m,avg_windgusts_10m,0.9834636554036763
avg_windspeed_10m,max_windgusts_10m,0.849362382207035
avg_windspeed_10m,med_windgusts_10m,0.9650187860230531
min_windspeed_10m,min_windspeed_100m,0.888115799239438
max_windspeed_10m,min_pressure_msl,-0.8956846530048214
max_windspeed_10m,avg_windspeed_10m,0.8726130477025463
max_windspeed_10m,avg_windspeed_100m,0.8656186976987627
max_windspeed_10m,max_windspeed_100m,0.9928483479774346
max_windspeed_10m,avg_windgusts_10m,0.8571250498417682
max_windspeed_10m,max_windgusts_10m,0.9655857440552967
med_windspeed_10m,avg_windspeed_10m,0.9775705151883918
med_windspeed_10m,avg_windspeed_100m,0.9691787154463465
med_windspeed_10m,med_windspeed_100m,0.9889853293132614
med_windspeed_10m,avg_windgusts_10m,0.9505279112946298
med_windspeed_10m,med_windgusts_10m,0.9670041824178366
avg_windspeed_100m,avg_windspeed_10m,0.9954253645914072
avg_windspeed_100m,max_windspeed_10m,0.8656186976987627
avg_windspeed_100m,med_windspeed_10m,0.9691787154463465
avg_windspeed_100m,max_windspeed_100m,0.8664465902013806
avg_windspeed_100m,med_windspeed_100m,0.9748509762346448
avg_windspeed_100m,avg_windgusts_10m,0.9928088607949764
avg_windspeed_100m,max_windgusts_10m,0.8465100766207994
avg_windspeed_100m,med_windgusts_10m,0.9749535377339897
min_windspeed_100m,min_windspeed_10m,0.888115799239438
max_windspeed_100m,min_pressure_msl,-0.9004689833301991
max_windspeed_100m,avg_windspeed_10m,0.8719080388936535
max_windspeed_100m,max_windspeed_10m,0.9928483479774346
max_windspeed_100m,avg_windspeed_100m,0.8664465902013806
max_windspeed_100m,avg_windgusts_10m,0.8545607693903196
max_windspeed_100m,max_windgusts_10m,0.9639068199746759
med_windspeed_100m,avg_windspeed_10m,0.9717621322860636
med_windspeed_100m,med_windspeed_10m,0.9889853293132614
med_windspeed_100m,avg_windspeed_100m,0.9748509762346448
med_windspeed_100m,avg_windgusts_10m,0.961782655977613
med_windspeed_100m,med_windgusts_10m,0.9863488956456434
avg_winddirection_10m,med_winddirection_10m,0.8798588444724667
avg_winddirection_10m,avg_winddirection_100m,0.9972745034119676
avg_winddirection_10m,med_winddirection_100m,0.88466853025902
min_winddirection_10m,min_cloudcover_mid,0.9150211349126445
min_winddirection_10m,min_winddirection_100m,0.934061807780935
med_winddirection_10m,avg_winddirection_10m,0.8798588444724667
med_winddirection_10m,avg_winddirection_100m,0.8649493075170707
med_winddirection_10m,med_winddirection_100m,0.9977450580594377
avg_winddirection_100m,avg_winddirection_10m,0.9972745034119676
avg_winddirection_100m,med_winddirection_10m,0.8649493075170707
avg_winddirection_100m,med_winddirection_100m,0.8729248982541866
min_winddirection_100m,min_cloudcover_mid,0.9308127296413268
min_winddirection_100m,min_winddirection_10m,0.934061807780935
med_winddirection_100m,avg_winddirection_10m,0.88466853025902
med_winddirection_100m,med_winddirection_10m,0.9977450580594377
med_winddirection_100m,avg_winddirection_100m,0.8729248982541866
avg_windgusts_10m,avg_windspeed_10m,0.9834636554036763
avg_windgusts_10m,max_windspeed_10m,0.8571250498417682
avg_windgusts_10m,med_windspeed_10m,0.9505279112946298
avg_windgusts_10m,avg_windspeed_100m,0.9928088607949764
avg_windgusts_10m,max_windspeed_100m,0.8545607693903196
avg_windgusts_10m,med_windspeed_100m,0.961782655977613
avg_windgusts_10m,max_windgusts_10m,0.8455737487583691
avg_windgusts_10m,med_windgusts_10m,0.9788264008351523
max_windgusts_10m,min_pressure_msl,-0.9090017254475006
max_windgusts_10m,avg_windspeed_10m,0.849362382207035
max_windgusts_10m,max_windspeed_10m,0.9655857440552967
max_windgusts_10m,avg_windspeed_100m,0.8465100766207994
max_windgusts_10m,max_windspeed_100m,0.9639068199746759
max_windgusts_10m,avg_windgusts_10m,0.8455737487583691
med_windgusts_10m,avg_windspeed_10m,0.9650187860230531
med_windgusts_10m,med_windspeed_10m,0.9670041824178366
med_windgusts_10m,avg_windspeed_100m,0.9749535377339897
med_windgusts_10m,med_windspeed_100m,0.9863488956456434
med_windgusts_10m,avg_windgusts_10m,0.9788264008351523
avg_soil_temperature_0_to_7cm,avg_temperature_2m,0.9732172826130112
avg_soil_temperature_0_to_7cm,avg_dewpoint_2m,0.9353841239647537
avg_soil_temperature_0_to_7cm,avg_soil_temperature_7_to_28cm,0.9895069705826479
avg_soil_temperature_0_to_7cm,avg_soil_temperature_28_to_100cm,0.9492982410635619
avg_soil_temperature_0_to_7cm,avg_soil_temperature_100_to_255cm,0.8319791903819824
min_soil_temperature_0_to_7cm,min_temperature_2m,0.9734694676505097
min_soil_temperature_0_to_7cm,min_dewpoint_2m,0.887619260664792
min_soil_temperature_0_to_7cm,min_apparent_temperature,0.9232092256726259
min_soil_temperature_0_to_7cm,min_soil_temperature_7_to_28cm,0.9890298860577834
min_soil_temperature_0_to_7cm,min_soil_temperature_28_to_100cm,0.9387274093205351
min_soil_temperature_0_to_7cm,min_soil_temperature_100_to_255cm,0.8326335886129463
med_soil_temperature_0_to_7cm,med_temperature_2m,0.9318896551623035
med_soil_temperature_0_to_7cm,med_dewpoint_2m,0.8524336720804682
med_soil_temperature_0_to_7cm,med_soil_temperature_7_to_28cm,0.979247017042492
med_soil_temperature_0_to_7cm,med_soil_temperature_28_to_100cm,0.8990171978256865
med_soil_temperature_0_to_7cm,med_soil_temperature_100_to_255cm,0.8003976134936154
avg_soil_temperature_7_to_28cm,avg_temperature_2m,0.9423908812041072
avg_soil_temperature_7_to_28cm,avg_dewpoint_2m,0.9101416466552673
avg_soil_temperature_7_to_28cm,avg_soil_temperature_0_to_7cm,0.9895069705826479
avg_soil_temperature_7_to_28cm,avg_soil_temperature_28_to_100cm,0.9760504852906564
avg_soil_temperature_7_to_28cm,avg_soil_temperature_100_to_255cm,0.8379497063596094
min_soil_temperature_7_to_28cm,min_temperature_2m,0.9466593040375467
min_soil_temperature_7_to_28cm,min_dewpoint_2m,0.8709465913953638
min_soil_temperature_7_to_28cm,min_apparent_temperature,0.9121982338221295
min_soil_temperature_7_to_28cm,min_soil_temperature_0_to_7cm,0.9890298860577834
min_soil_temperature_7_to_28cm,min_soil_temperature_28_to_100cm,0.9717873355472636
min_soil_temperature_7_to_28cm,min_soil_temperature_100_to_255cm,0.8622908310971729
max_soil_temperature_7_to_28cm,max_soil_temperature_28_to_100cm,0.8491037139004782
med_soil_temperature_7_to_28cm,med_temperature_2m,0.9168911494625865
med_soil_temperature_7_to_28cm,med_dewpoint_2m,0.8794325522641543
med_soil_temperature_7_to_28cm,med_soil_temperature_0_to_7cm,0.979247017042492
med_soil_temperature_7_to_28cm,med_soil_temperature_28_to_100cm,0.9554534239196281
med_soil_temperature_7_to_28cm,med_soil_temperature_100_to_255cm,0.8350383735389895
avg_soil_temperature_28_to_100cm,avg_temperature_2m,0.8768001458787529
avg_soil_temperature_28_to_100cm,avg_dewpoint_2m,0.8655168480183267
avg_soil_temperature_28_to_100cm,avg_soil_temperature_0_to_7cm,0.9492982410635619
avg_soil_temperature_28_to_100cm,avg_soil_temperature_7_to_28cm,0.9760504852906564
avg_soil_temperature_28_to_100cm,avg_soil_temperature_100_to_255cm,0.9031322904185091
min_soil_temperature_28_to_100cm,min_temperature_2m,0.8789805261403204
min_soil_temperature_28_to_100cm,min_dewpoint_2m,0.8367590526309493
min_soil_temperature_28_to_100cm,min_apparent_temperature,0.864612628977593
min_soil_temperature_28_to_100cm,min_soil_temperature_0_to_7cm,0.9387274093205351
min_soil_temperature_28_to_100cm,min_soil_temperature_7_to_28cm,0.9717873355472636
min_soil_temperature_28_to_100cm,min_soil_temperature_100_to_255cm,0.9324422637171281
max_soil_temperature_28_to_100cm,max_soil_temperature_7_to_28cm,0.8491037139004782
med_soil_temperature_28_to_100cm,med_temperature_2m,0.846518996631871
med_soil_temperature_28_to_100cm,med_dewpoint_2m,0.8571664336571813
med_soil_temperature_28_to_100cm,med_soil_temperature_0_to_7cm,0.8990171978256865
med_soil_temperature_28_to_100cm,med_soil_temperature_7_to_28cm,0.9554534239196281
med_soil_temperature_28_to_100cm,avg_soil_temperature_100_to_255cm,0.813896019379365
med_soil_temperature_28_to_100cm,med_soil_temperature_100_to_255cm,0.8878020556447027
avg_soil_temperature_100_to_255cm,avg_soil_temperature_0_to_7cm,0.8319791903819824
avg_soil_temperature_100_to_255cm,avg_soil_temperature_7_to_28cm,0.8379497063596094
avg_soil_temperature_100_to_255cm,avg_soil_temperature_28_to_100cm,0.9031322904185091
avg_soil_temperature_100_to_255cm,med_soil_temperature_28_to_100cm,0.813896019379365
avg_soil_temperature_100_to_255cm,med_soil_temperature_100_to_255cm,0.8168763141968406
min_soil_temperature_100_to_255cm,min_soil_temperature_0_to_7cm,0.8326335886129463
min_soil_temperature_100_to_255cm,min_soil_temperature_7_to_28cm,0.8622908310971729
min_soil_temperature_100_to_255cm,min_soil_temperature_28_to_100cm,0.9324422637171281
med_soil_temperature_100_to_255cm,med_soil_temperature_0_to_7cm,0.8003976134936154
med_soil_temperature_100_to_255cm,med_soil_temperature_7_to_28cm,0.8350383735389895
med_soil_temperature_100_to_255cm,med_soil_temperature_28_to_100cm,0.8878020556447027
med_soil_temperature_100_to_255cm,avg_soil_temperature_100_to_255cm,0.8168763141968406
avg_soil_moisture_0_to_7cm,med_soil_moisture_0_to_7cm,0.8285300980728222
avg_soil_moisture_0_to_7cm,avg_soil_moisture_7_to_28cm,0.9872012761561701
avg_soil_moisture_0_to_7cm,med_soil_moisture_7_to_28cm,0.8128972296304295
avg_soil_moisture_0_to_7cm,avg_soil_moisture_28_to_100cm,0.962166931984283
avg_soil_moisture_0_to_7cm,med_soil_moisture_28_to_100cm,0.8037531387471403
avg_soil_moisture_0_to_7cm,avg_soil_moisture_100_to_255cm,0.9671817419055162
avg_soil_moisture_0_to_7cm,med_soil_moisture_100_to_255cm,0.8206768354856342
max_soil_moisture_0_to_7cm,max_soil_moisture_7_to_28cm,0.9609465236612904
med_soil_moisture_0_to_7cm,avg_soil_moisture_0_to_7cm,0.8285300980728222
med_soil_moisture_0_to_7cm,avg_soil_moisture_7_to_28cm,0.8053643703851087
med_soil_moisture_0_to_7cm,med_soil_moisture_7_to_28cm,0.9916943221479249
med_soil_moisture_0_to_7cm,med_soil_moisture_28_to_100cm,0.9754494271682937
med_soil_moisture_0_to_7cm,avg_soil_moisture_100_to_255cm,0.8101018047682514
med_soil_moisture_0_to_7cm,med_soil_moisture_100_to_255cm,0.9714623026912212
avg_soil_moisture_7_to_28cm,avg_soil_moisture_0_to_7cm,0.9872012761561701
avg_soil_moisture_7_to_28cm,med_soil_moisture_0_to_7cm,0.8053643703851087
avg_soil_moisture_7_to_28cm,med_soil_moisture_7_to_28cm,0.8030776118056259
avg_soil_moisture_7_to_28cm,avg_soil_moisture_28_to_100cm,0.980520221259209
avg_soil_moisture_7_to_28cm,avg_soil_moisture_100_to_255cm,0.9590184083520559
max_soil_moisture_7_to_28cm,max_soil_moisture_0_to_7cm,0.9609465236612904
med_soil_moisture_7_to_28cm,avg_soil_moisture_0_to_7cm,0.8128972296304295
med_soil_moisture_7_to_28cm,med_soil_moisture_0_to_7cm,0.9916943221479249
med_soil_moisture_7_to_28cm,avg_soil_moisture_7_to_28cm,0.8030776118056259
med_soil_moisture_7_to_28cm,med_soil_moisture_28_to_100cm,0.978780660012235
med_soil_moisture_7_to_28cm,med_soil_moisture_100_to_255cm,0.9645925695540826
avg_soil_moisture_28_to_100cm,avg_soil_moisture_0_to_7cm,0.962166931984283
avg_soil_moisture_28_to_100cm,avg_soil_moisture_7_to_28cm,0.980520221259209
avg_soil_moisture_28_to_100cm,avg_soil_moisture_100_to_255cm,0.9642788675674645
med_soil_moisture_28_to_100cm,avg_soil_moisture_0_to_7cm,0.8037531387471403
med_soil_moisture_28_to_100cm,med_soil_moisture_0_to_7cm,0.9754494271682937
med_soil_moisture_28_to_100cm,med_soil_moisture_7_to_28cm,0.978780660012235
med_soil_moisture_28_to_100cm,avg_soil_moisture_100_to_255cm,0.8081189200721622
med_soil_moisture_28_to_100cm,med_soil_moisture_100_to_255cm,0.9794360307311548
avg_soil_moisture_100_to_255cm,avg_soil_moisture_0_to_7cm,0.9671817419055162
avg_soil_moisture_100_to_255cm,med_soil_moisture_0_to_7cm,0.8101018047682514
avg_soil_moisture_100_to_255cm,avg_soil_moisture_7_to_28cm,0.9590184083520559
avg_soil_moisture_100_to_255cm,avg_soil_moisture_28_to_100cm,0.9642788675674645
avg_soil_moisture_100_to_255cm,med_soil_moisture_28_to_100cm,0.8081189200721622
avg_soil_moisture_100_to_255cm,med_soil_moisture_100_to_255cm,0.8346537136933968
med_soil_moisture_100_to_255cm,avg_soil_moisture_0_to_7cm,0.8206768354856342
med_soil_moisture_100_to_255cm,med_soil_moisture_0_to_7cm,0.9714623026912212
med_soil_moisture_100_to_255cm,med_soil_moisture_7_to_28cm,0.9645925695540826
med_soil_moisture_100_to_255cm,med_soil_moisture_28_to_100cm,0.9794360307311548
med_soil_moisture_100_to_255cm,avg_soil_moisture_100_to_255cm,0.8346537136933968
